Population,Median Age,Household Income,Per Capita Income,Masters holders,Median gross rent,Poverty Rate,Unemployment rate,pop_arc/eng,house_age,Population Density
10526.0,42.3,90134.0,46941.0,1575.0,1110.0,9.120273608208246,2.4985749572487173,201,57,2019.182812200269
1057.0,31.5,50391.0,22519.0,3.0,700.0,16.650898770104067,1.6083254493850516,0,36,110.09269867722111
507.0,32.7,29250.0,12755.0,0.0,927.0,52.07100591715977,6.903353057199211,0,31,361.6262482168331
17603.0,30.6,23493.0,13809.0,281.0,737.0,42.2257569732432,3.66982900641936,70,65,3003.924914675768
1078.0,29.0,48404.0,30323.0,0.0,790.0,3.339517625231911,2.5974025974025974,12,79,5500.0
4476.0,44.8,68021.0,31929.0,142.0,1076.0,7.2609472743521,4.066130473637176,94,63,1043.3566433566434
16977.0,37.4,62795.0,26841.0,404.0,1063.0,9.230134888378394,3.681451375390234,197,17,127.82730476161791
1471.0,37.8,52292.0,20257.0,17.0,1450.0,25.28891910265125,4.554724677090415,0,45,85.30008698173383
691.0,44.1,52542.0,23155.0,24.0,540.0,13.748191027496382,1.8813314037626627,3,60,29.049480808845168
5234.0,46.2,51544.0,24159.0,134.0,728.0,6.457776079480323,3.9166985097439815,0,43,84.908262089775
1585.0,25.4,43611.0,22046.0,52.0,577.0,22.965299684542586,1.7034700315457414,7,49,4.765684665018973
25456.0,38.3,33703.0,20056.0,708.0,904.0,27.62413576367065,6.387492143306098,23,65,3066.2490966032283
25445.0,39.7,66773.0,40576.0,1683.0,987.0,6.437414030261348,1.5877382589899784,393,44,4448.426573426574
33885.0,33.4,39535.0,18260.0,744.0,707.0,23.609266637155084,4.907776302198613,207,56,1906.2218721872187
454.0,53.1,39861.0,32674.0,44.0,530.0,2.8634361233480177,3.0837004405286343,0,61,0.731895658117674
6613.0,48.9,50923.0,34556.0,572.0,746.0,5.307727203992137,2.0716769998487825,93,44,371.8720125962998
1889.0,45.3,66319.0,30127.0,78.0,704.0,6.246691371095817,0.5823186871360508,13,50,4.502850931558573
5378.0,49.0,49713.0,29509.0,317.0,645.0,8.832279657865376,3.4771290442543696,37,51,113.24012465257307
1064.0,37.6,40000.0,12467.0,6.0,592.0,14.379699248120303,1.3157894736842106,6,53,1.5802269645533111
1301.0,42.0,47976.0,19193.0,44.0,563.0,14.911606456571867,1.9215987701767872,4,42,11.869463274001223
6063.0,37.0,46740.0,22935.0,173.0,740.0,12.815437902028695,5.393369619000496,7,28,106.69975186104219
440.0,29.8,19612.0,13877.0,0.0,334.0,36.36363636363637,13.409090909090908,0,43,2.482131473991211
973.0,50.8,42961.0,23377.0,20.0,441.0,7.1942446043165456,1.1305241521068858,0,55,1.52588675505205
421.0,29.8,42143.0,22463.0,4.0,616.0,24.228028503562946,3.5629453681710213,0,47,385.1784080512351
1863.0,52.3,38854.0,25493.0,54.0,534.0,21.041331186258727,5.9044551798174965,7,32,12.50595761534279
1306.0,43.3,44444.0,21814.0,70.0,779.0,9.494640122511486,3.1393568147013777,12,47,19.58255862772147
554.0,40.6,79219.0,37882.0,29.0,882.0,2.888086642599278,0.0,17,32,154.3175487465181
