ZipCode,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
77007,Texas,384400,380900,382300,3.85E+05,387100,3.93E+05,387200,387100,370800,380300,382500,388400
73160,Oklahoma,137700,138700,141300,136900,138200,140700,142400,144500,1.43E+05,142300,140600,141500
33319,Florida,104100,100900,112800,112300,1.07E+05,95600,94800,102600,102400,104300,98200,96800
63123,Missouri,145200,142400,144500,147100,152800,146500,149300,148500,156400,158400,163900,161600
98682,Washington,297900,301900,308500,310500,309400,307200,308200,305900,3.08E+05,313600,319900,326700
93536,California,335200,343400,368600,361900,357200,345500,345400,347300,351600,348300,,
93550,California,2.56E+05,253500,254700,2.59E+05,265300,259800,262100,262800,2.62E+05,257700,261100,2.71E+05
94509,California,3.82E+05,374700,366500,3.86E+05,403300,403800,394600,393200,390700,392200,392800,403400
37064,Tennessee,432100,439500,433300,427300,4.23E+05,421800,430700,443400,478100,482300,486300,474900
30135,Georgia,161500,1.72E+05,169800,166500,169300,172100,184300,180900,184100,176100,175700,
32828,Florida,279600,284600,283200,285600,279100,2.80E+05,274200,282700,2.76E+05,280400,276600,286100
89031,Nevada,234800,241500,242700,241500,243200,249500,257300,258300,258100,255200,260300,264200
95035,California,1006300,1019400,1056700,1075200,1116600,1092400,1076400,1014300,1.01E+06,1004900,1038600,1.04E+06
93535,California,2.38E+05,235700,238100,239500,246600,248900,249400,250900,255600,259300,262700,261400
14221,New York,249700,234100,227700,222100,232500,235100,238800,2.36E+05,247700,247600,248600,
94568,California,871800,923100,934400,908700,882400,858500,863700,859700,856700,8.61E+05,8.67E+05,877600
19446,Pennsylvania,273800,268600,2.67E+05,280100,282400,280600,271300,282500,277500,289700,291900,
85142,Arizona,286100,277600,261300,256800,263800,267800,275600,277600,2.77E+05,286200,293800,
23451,Virginia,392100,370400,370800,357100,4.01E+05,391600,409600,367400,378100,373200,400800,394300
89123,Nevada,274300,266700,2.68E+05,270100,284600,294500,303600,300700,2.96E+05,293900,295500,288300
21122,Maryland,287800,297400,283800,2.90E+05,2.81E+05,287700,294600,296900,2.89E+05,2.86E+05,2.90E+05,294100
94122,California,1470400,1499400,1470700,1428300,1407200,1422900,1411200,1425200,1371300,1352700,1330800,
78249,Texas,194500,199600,205400,206100,203100,207500,213900,222600,219500,227800,227500,242200
14580,New York,196100,1.84E+05,175600,171100,182200,194100,195200,202600,213800,227800,233100,
95758,California,384200,386500,392800,397200,399200,383700,381300,383800,389300,3.87E+05,379300,385700
60641,Illinois,293800,298500,303200,279700,278700,286300,286100,2.89E+05,286500,2.93E+05,296200,292200
33321,Florida,1.86E+05,1.83E+05,177300,177400,179200,188600,188600,197300,1.96E+05,195400,189900,178100
2301,Massachusetts,264100,275200,274500,284300,282600,288500,283300,274100,276900,275800,282300,
75043,Texas,193100,195500,197600,1.97E+05,201700,199400,199800,193100,194400,191300,195400,
19020,Pennsylvania,232400,243400,246600,256700,254200,250100,243700,247300,245600,242400,240800,248700
29445,South Carolina,173200,180600,180500,180400,170600,178200,182200,1.89E+05,187600,187700,184200,177400
37122,Tennessee,321700,320500,304200,311100,3.22E+05,330900,317700,307900,308100,308700,307700,307400
77521,Texas,180700,186800,190600,189700,186100,182100,187900,186100,186600,186200,191500,198200
19120,Pennsylvania,73500,72600,77400,78900,78900,76100,81100,78800,79500,83800,93500,94800
33467,Florida,246900,260700,271900,263400,240700,235600,247200,259700,285400,281300,293900,
93307,California,175100,169900,173800,175500,1.83E+05,178800,180400,182600,,,,
22204,Virginia,442200,423300,431400,423600,4.49E+05,4.35E+05,436400,413900,408800,413400,415200,4.45E+05
29681,South Carolina,236900,243500,246600,241900,240300,243900,239800,233400,228800,224600,224900,224400
37066,Tennessee,246100,243500,250300,248600,250700,254100,250100,251500,246300,2.65E+05,263200,
93309,California,196800,198900,202200,197600,194700,190600,195300,197400,205500,207900,208600,206900
85282,Arizona,224400,228900,246400,236300,2.17E+05,2.14E+05,2.41E+05,,,,,
20874,Maryland,272800,283700,292300,288700,284300,279800,291100,282600,285100,288600,286900,289800
75002,Texas,286800,278300,279700,282400,283100,290400,289700,294400,299200,310600,314800,304100
32246,Florida,153900,160900,163700,166800,175100,169200,162100,156100,167500,163900,163400,165800
92630,California,623400,628600,704600,744300,730800,738800,754300,755100,695600,665400,6.67E+05,652400
94541,California,622300,611100,615100,584500,590500,584800,586300,605500,607700,618200,607900,636100
98133,Washington,5.43E+05,553300,551300,544200,531700,558300,5.65E+05,550800,551600,546300,572400,560400
29223,South Carolina,147400,129100,136500,107400,123400,119400,112500,109400,118800,128500,130100,128200
60056,Illinois,254300,287400,3.00E+05,2.94E+05,274300,271700,286700,291600,288800,280900,282500,279500
33157,Florida,306400,3.18E+05,316500,340900,325700,320800,308700,320600,,,,
94538,California,914900,1001700,1022100,1055800,985700,968300,964400,943900,945400,936600,952400,927200
85022,Arizona,235600,219900,225700,219400,241300,263600,263800,,,,,
28216,North Carolina,151500,156300,1.66E+05,1.62E+05,166900,1.69E+05,170500,167700,159400,162300,161100,176900
37167,Tennessee,197100,188900,201800,212500,223700,224400,218600,2.22E+05,224700,226400,220500,
60085,Illinois,107800,114700,116300,124100,124700,125900,120100,112700,112100,121100,129800,131300
29485,South Carolina,210900,209100,210100,2.15E+05,221800,217200,215400,210200,2.09E+05,212200,2.21E+05,220500
99208,Washington,255800,256200,265600,252800,257900,253900,250200,253600,246500,266100,260200,275200
32792,Florida,2.32E+05,242400,232500,228300,216700,222100,230200,226500,227200,223600,239400,246200
98122,Washington,765900,762900,779300,768600,762400,754800,753300,788900,760200,728100,717300,684400
30909,Georgia,148200,148700,152800,1.45E+05,143500,1.38E+05,133800,136400,136900,152900,158300,
20020,District of Columbia,268700,280800,265900,296500,292500,314600,294100,290600,288700,277800,282200,271400
70726,Louisiana,163500,167500,161600,164700,158100,162200,1.62E+05,161800,164900,160900,168600,163200
90631,California,544800,562500,584400,582300,5.64E+05,552800,559800,552900,571500,568900,568700,556600
92647,California,695600,724600,743100,734400,740300,735600,744900,737500,737900,738600,735300,727200
32765,Florida,286700,290600,2.97E+05,288700,2.90E+05,284800,283500,281900,283600,291300,284700,283400
33511,Florida,202200,202100,206200,203200,200700,195700,191500,192900,195400,199200,200500,201500
94513,California,568700,581800,593500,602500,587700,5.77E+05,578900,591400,594100,581400,,
21224,Maryland,202100,2.10E+05,2.09E+05,218100,225900,221100,196700,180500,190700,199900,198300,203600
85345,Arizona,196500,198600,197300,1.96E+05,196800,194800,201100,202100,204400,199700,203300,205300
30906,Georgia,6.30E+04,55600,61100,5.80E+04,61600,68400,63700,66400,,,,
97045,Oregon,387500,388700,382600,383800,389800,401200,408600,410200,405700,406900,4.17E+05,417400
78251,Texas,184800,1.86E+05,186800,194100,191800,192700,192600,192300,1.91E+05,187100,189900,194700
15301,Pennsylvania,143500,166100,168700,155300,141600,139400,147900,137400,,,,
34293,Florida,228900,221400,217800,213300,214100,212100,221800,227300,2.34E+05,240100,245100,247600
30263,Georgia,174400,199500,201200,195500,178500,165700,169800,167700,169600,169900,175500,
28215,North Carolina,168700,183100,186300,179600,179300,179300,178200,172400,173900,172600,1.78E+05,184200
92104,California,585100,582800,573600,557500,618300,599700,598200,559200,547500,5.05E+05,497200,
87124,New Mexico,182200,178600,177400,183700,188600,192400,1.95E+05,191300,187800,184700,1.90E+05,
37421,Tennessee,204400,201500,188300,189300,188400,192100,188600,198300,198500,208800,207300,213600
20852,Maryland,431900,449600,437300,466200,457900,455700,426600,4.03E+05,411400,398600,410500,4.25E+05
