Zipcode,Population,Median Age,Household Income,median_home_value,Per Capita Income,Masters holders,Bachelor holders,Median gross rent,Poverty Count,Poverty Rate,Unemployment,Unemployment rate,pop_arc/eng,pop_stem,pop_tech,pop_biz,commute time car,house_age
01229,102.0,62.8,27083.0,246700.0,19587.0,0.0,18.0,-666666666.0,5.0,4.901960784313726,0.0,0.0,0,0,0,5,,74
01230,8195.0,49.4,59702.0,344300.0,35371.0,983.0,1195.0,928.0,439.0,5.35692495424039,293.0,3.5753508236729714,49,216,93,133,52680.0,65
01235,2666.0,47.6,60718.0,193200.0,32438.0,164.0,367.0,727.0,185.0,6.939234808702175,98.0,3.675918979744936,37,87,32,35,,47
01236,1422.0,42.3,80385.0,330500.0,32117.0,229.0,208.0,-666666666.0,20.0,1.4064697609001406,70.0,4.922644163150492,33,76,17,17,13910.0,79
01237,2755.0,43.3,83311.0,242100.0,31664.0,210.0,429.0,1217.0,123.0,4.464609800362976,160.0,5.807622504537205,3,74,43,43,,37
01238,5950.0,48.7,63109.0,250800.0,35946.0,474.0,868.0,761.0,607.0,10.201680672268907,142.0,2.3865546218487395,13,88,41,33,,56
01240,4592.0,58.3,54250.0,369400.0,48764.0,610.0,887.0,781.0,353.0,7.687282229965157,123.0,2.6785714285714284,45,146,101,80,,46
01242,429.0,32.0,56840.0,251700.0,25313.0,31.0,94.0,-666666666.0,3.0,0.6993006993006993,0.0,0.0,0,0,0,0,3730.0,33
01243,381.0,56.4,76250.0,221700.0,46979.0,40.0,35.0,-666666666.0,26.0,6.824146981627297,3.0,0.7874015748031497,6,8,2,21,,35
01244,82.0,60.3,-666666666.0,427300.0,51809.0,11.0,34.0,-666666666.0,9.0,10.975609756097562,0.0,0.0,3,3,0,11,2145.0,57
01245,870.0,54.7,66136.0,427600.0,42633.0,105.0,207.0,977.0,106.0,12.183908045977011,24.0,2.7586206896551726,11,44,15,21,,46
01247,15725.0,44.4,38007.0,154100.0,23957.0,720.0,1600.0,686.0,2580.0,16.406995230524643,823.0,5.233704292527822,22,174,87,291,110890.0,79
01253,734.0,51.9,71010.0,239500.0,39333.0,59.0,89.0,625.0,20.0,2.7247956403269753,16.0,2.1798365122615806,2,8,3,20,,37
01254,985.0,58.7,89583.0,447500.0,67264.0,89.0,238.0,1170.0,68.0,6.903553299492386,31.0,3.1472081218274113,6,16,7,34,,46
01255,869.0,50.5,67333.0,288600.0,36881.0,86.0,120.0,706.0,36.0,4.142692750287687,30.0,3.4522439585730726,3,28,16,25,,44
01256,764.0,47.9,49000.0,188400.0,27351.0,35.0,60.0,792.0,58.0,7.591623036649215,32.0,4.18848167539267,2,9,4,9,,41
01257,2164.0,52.6,50688.0,314500.0,34538.0,258.0,277.0,1013.0,341.0,15.757855822550832,83.0,3.8354898336414047,6,6,0,27,,58
01258,359.0,63.0,65739.0,417900.0,45881.0,36.0,122.0,-666666666.0,29.0,8.07799442896936,1.0,0.2785515320334262,4,8,0,19,,58
01259,556.0,60.2,61125.0,386200.0,56822.0,107.0,116.0,1107.0,40.0,7.194244604316546,22.0,3.9568345323741005,0,12,9,14,,43
